#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ART1,GNAS,9606.ENSP00000250693,9606.ENSP00000360141,0,0,0,0,0,0,0,0.431,0.431
ATP5G2,ATP6V1E1,9606.ENSP00000377878,9606.ENSP00000253413,0.093,0,0,0,0.085,0.368,0.54,0.415,0.833
ATP5G2,NDUFB8,9606.ENSP00000377878,9606.ENSP00000299166,0,0,0,0,0.266,0,0,0.39,0.534
ATP6V1E1,ACTN1,9606.ENSP00000253413,9606.ENSP00000377941,0,0,0,0,0,0,0,0.487,0.487
ATP6V1E1,ATP5G2,9606.ENSP00000253413,9606.ENSP00000377878,0.093,0,0,0,0.085,0.368,0.54,0.415,0.833
BUB1,POLE2,9606.ENSP00000302530,9606.ENSP00000216367,0,0,0,0,0.772,0,0,0.338,0.842
BUB1,NASP,9606.ENSP00000302530,9606.ENSP00000255120,0,0,0,0,0.555,0.122,0,0.169,0.647
BUB1,E2F3,9606.ENSP00000302530,9606.ENSP00000262904,0,0,0,0,0.188,0,0,0.324,0.428
BUB1,CENPO,9606.ENSP00000302530,9606.ENSP00000370214,0,0,0,0,0.258,0,0,0.357,0.503
C9orf3,CAND2,9606.ENSP00000364464,9606.ENSP00000387641,0,0,0,0,0.068,0,0,0.504,0.517
CA9,LOX,9606.ENSP00000367608,9606.ENSP00000231004,0,0,0,0,0.096,0,0,0.521,0.549
CA9,ESR1,9606.ENSP00000367608,9606.ENSP00000405330,0,0,0,0,0,0.056,0,0.423,0.432
CA9,PDK1,9606.ENSP00000367608,9606.ENSP00000376352,0,0,0,0,0.085,0,0,0.479,0.503
CAND2,RNF7,9606.ENSP00000387641,9606.ENSP00000273480,0,0,0,0,0,0.056,0,0.391,0.4
CAND2,C9orf3,9606.ENSP00000387641,9606.ENSP00000364464,0,0,0,0,0.068,0,0,0.504,0.517
CCNT2,CDK13,9606.ENSP00000264157,9606.ENSP00000181839,0,0,0,0,0.082,0.532,0.72,0.366,0.913
CCNT2,SMAD2,9606.ENSP00000264157,9606.ENSP00000262160,0,0,0,0,0.062,0,0.9,0,0.902
CCNT2,POU2F2,9606.ENSP00000264157,9606.ENSP00000431603,0,0,0,0,0,0,0.6,0.223,0.676
CCNT2,GTF2H3,9606.ENSP00000264157,9606.ENSP00000445162,0,0,0,0,0.063,0.311,0.9,0.142,0.937
CCNT2,ERCC3,9606.ENSP00000264157,9606.ENSP00000285398,0,0,0,0,0.054,0.275,0.9,0.334,0.948
CDK13,GTF2H3,9606.ENSP00000181839,9606.ENSP00000445162,0,0,0,0,0.066,0,0.54,0.059,0.56
CDK13,ERCC3,9606.ENSP00000181839,9606.ENSP00000285398,0,0,0,0,0.056,0,0.54,0.145,0.596
CDK13,CCNT2,9606.ENSP00000181839,9606.ENSP00000264157,0,0,0,0,0.082,0.532,0.72,0.366,0.913
CENPO,BUB1,9606.ENSP00000370214,9606.ENSP00000302530,0,0,0,0,0.258,0,0,0.357,0.503
CENPO,HIST1H2BJ,9606.ENSP00000370214,9606.ENSP00000476136,0,0,0,0,0,0,0.6,0,0.6
CHAT,ECH1,9606.ENSP00000337103,9606.ENSP00000221418,0,0,0,0,0.289,0.334,0,0.14,0.557
CHAT,ACHE,9606.ENSP00000337103,9606.ENSP00000303211,0,0,0,0,0.064,0,0,0.925,0.927
CHAT,TACR1,9606.ENSP00000337103,9606.ENSP00000303522,0,0,0,0,0.06,0,0,0.459,0.469
CHAT,SLC6A5,9606.ENSP00000337103,9606.ENSP00000434364,0,0,0,0,0.064,0,0,0.469,0.482
CNOT4,YTHDF1,9606.ENSP00000445508,9606.ENSP00000359364,0,0,0,0,0.067,0.183,0,0.295,0.415
CNOT4,UBE2L3,9606.ENSP00000445508,9606.ENSP00000400906,0,0,0,0,0,0.229,0,0.436,0.547
CNOT4,EIF4G1,9606.ENSP00000445508,9606.ENSP00000416255,0,0,0,0,0.191,0,0.9,0.266,0.935
COPS6,JUN,9606.ENSP00000304102,9606.ENSP00000360266,0,0,0,0,0,0.407,0,0.241,0.531
COPS6,COPS8,9606.ENSP00000304102,9606.ENSP00000346340,0,0,0,0,0.195,0.986,0.9,0.939,0.999
COPS8,COPS6,9606.ENSP00000346340,9606.ENSP00000304102,0,0,0,0,0.195,0.986,0.9,0.939,0.999
COPS8,SHQ1,9606.ENSP00000346340,9606.ENSP00000315182,0,0,0,0,0,0,0,0.45,0.45
CPT1A,ECH1,9606.ENSP00000265641,9606.ENSP00000221418,0,0,0,0,0.126,0,0,0.506,0.55
CPT1A,GHSR,9606.ENSP00000265641,9606.ENSP00000241256,0,0,0,0,0,0,0,0.535,0.535
CPT1A,PDK1,9606.ENSP00000265641,9606.ENSP00000376352,0,0,0,0,0.062,0,0,0.388,0.402
CPT1A,PRKAA1,9606.ENSP00000265641,9606.ENSP00000346148,0,0,0,0,0,0,0,0.51,0.51
CPT1A,HADHA,9606.ENSP00000265641,9606.ENSP00000370023,0,0,0,0,0.062,0.116,0,0.62,0.657
CPT1A,JUN,9606.ENSP00000265641,9606.ENSP00000360266,0,0,0,0,0,0,0.9,0.207,0.917
CRX,THRB,9606.ENSP00000221996,9606.ENSP00000379904,0,0,0,0,0,0.058,0,0.545,0.553
CSF1,FCER2,9606.ENSP00000327513,9606.ENSP00000264072,0,0,0,0,0,0,0.9,0.081,0.904
CSF1,JUN,9606.ENSP00000327513,9606.ENSP00000360266,0,0,0,0,0.066,0,0,0.479,0.492
CTTN,SNX1,9606.ENSP00000365745,9606.ENSP00000261889,0,0,0,0,0,0.291,0,0.193,0.404
CTTN,IQGAP1,9606.ENSP00000365745,9606.ENSP00000268182,0,0,0,0,0.062,0.151,0,0.809,0.835
CTTN,ZYX,9606.ENSP00000365745,9606.ENSP00000324422,0,0,0,0,0.062,0,0,0.502,0.513
CTTN,ACTN1,9606.ENSP00000365745,9606.ENSP00000377941,0,0,0,0,0.085,0,0,0.455,0.481
CTTN,ACTR2,9606.ENSP00000365745,9606.ENSP00000367220,0,0,0,0,0.066,0.841,0,0.815,0.97
CUEDC2,ESR1,9606.ENSP00000358953,9606.ENSP00000405330,0,0,0,0,0,0.486,0,0.261,0.603
CYLD,USP13,9606.ENSP00000392025,9606.ENSP00000263966,0,0,0,0,0,0.131,0,0.439,0.491
CYLD,NFKB2,9606.ENSP00000392025,9606.ENSP00000358983,0,0,0,0,0,0.06,0,0.528,0.537
CYLD,JUN,9606.ENSP00000392025,9606.ENSP00000360266,0,0,0,0,0,0.182,0,0.411,0.498
CYP2C9,ESR1,9606.ENSP00000260682,9606.ENSP00000405330,0,0,0,0,0.053,0.073,0,0.513,0.535
CYP2C9,NFKB2,9606.ENSP00000260682,9606.ENSP00000358983,0,0,0,0,0,0.056,0,0.539,0.546
CYTH4,LST1,9606.ENSP00000248901,9606.ENSP00000365261,0,0,0,0,0.231,0,0,0.277,0.421
CYTH4,IKZF1,9606.ENSP00000248901,9606.ENSP00000331614,0,0,0,0,0.578,0,0,0.062,0.587
DDX23,TOP1,9606.ENSP00000310723,9606.ENSP00000354522,0,0,0,0,0.085,0.282,0,0.327,0.52
DDX23,SF3A3,9606.ENSP00000310723,9606.ENSP00000362110,0,0,0,0,0.153,0.851,0,0.367,0.914
DUSP3,MAPK7,9606.ENSP00000226004,9606.ENSP00000311005,0,0,0,0,0,0.244,0.9,0.205,0.934
DYRK1A,EIF4G1,9606.ENSP00000381932,9606.ENSP00000416255,0,0,0,0,0.096,0.318,0,0.179,0.45
E2F3,JUN,9606.ENSP00000262904,9606.ENSP00000360266,0,0,0,0,0,0,0,0.405,0.405
E2F3,ESR1,9606.ENSP00000262904,9606.ENSP00000405330,0,0,0,0,0,0.056,0,0.402,0.411
E2F3,BUB1,9606.ENSP00000262904,9606.ENSP00000302530,0,0,0,0,0.188,0,0,0.324,0.428
ECH1,IQGAP1,9606.ENSP00000221418,9606.ENSP00000268182,0,0,0,0,0,0.427,0,0,0.426
ECH1,CPT1A,9606.ENSP00000221418,9606.ENSP00000265641,0,0,0,0,0.126,0,0,0.506,0.55
ECH1,CHAT,9606.ENSP00000221418,9606.ENSP00000337103,0,0,0,0,0.289,0.334,0,0.14,0.557
ECH1,HADHA,9606.ENSP00000221418,9606.ENSP00000370023,0,0.01,0,0.626,0.194,0.386,0,0.536,0.583
EIF2AK1,FARSA,9606.ENSP00000199389,9606.ENSP00000320309,0.073,0,0,0,0.221,0,0,0.302,0.451
EIF2AK1,JUN,9606.ENSP00000199389,9606.ENSP00000360266,0,0,0,0,0,0.213,0,0.404,0.511
EIF2AK1,EIF4G1,9606.ENSP00000199389,9606.ENSP00000416255,0,0,0,0,0.063,0,0,0.505,0.516
EIF2AK1,EIF2S1,9606.ENSP00000199389,9606.ENSP00000256383,0,0,0,0,0.143,0.734,0.9,0.87,0.996
EIF2S1,EIF2AK1,9606.ENSP00000256383,9606.ENSP00000199389,0,0,0,0,0.143,0.734,0.9,0.87,0.996
EIF2S1,RPL37A,9606.ENSP00000256383,9606.ENSP00000418082,0,0,0,0,0.394,0,0,0.052,0.401
EIF2S1,MRPS11,9606.ENSP00000256383,9606.ENSP00000317376,0,0,0,0,0.14,0.369,0,0,0.434
EIF2S1,HSPA6,9606.ENSP00000256383,9606.ENSP00000310219,0,0,0,0,0.262,0,0,0.299,0.46
EIF2S1,JUN,9606.ENSP00000256383,9606.ENSP00000360266,0,0,0,0,0,0.129,0,0.591,0.628
EIF2S1,NRF1,9606.ENSP00000256383,9606.ENSP00000376924,0,0,0,0,0.049,0,0,0.645,0.647
EIF2S1,EIF4G1,9606.ENSP00000256383,9606.ENSP00000416255,0,0,0,0,0.216,0.826,0.9,0.843,0.997
EIF4G1,EIF2AK1,9606.ENSP00000416255,9606.ENSP00000199389,0,0,0,0,0.063,0,0,0.505,0.516
EIF4G1,EIF2S1,9606.ENSP00000416255,9606.ENSP00000256383,0,0,0,0,0.216,0.826,0.9,0.843,0.997
EIF4G1,SF3A3,9606.ENSP00000416255,9606.ENSP00000362110,0,0,0,0,0.121,0.494,0,0.128,0.578
EIF4G1,DYRK1A,9606.ENSP00000416255,9606.ENSP00000381932,0,0,0,0,0.096,0.318,0,0.179,0.45
EIF4G1,SMG7,9606.ENSP00000416255,9606.ENSP00000425133,0,0,0,0,0.099,0,0.8,0.293,0.861
EIF4G1,CNOT4,9606.ENSP00000416255,9606.ENSP00000445508,0,0,0,0,0.191,0,0.9,0.266,0.935
ELF5,ENDOD1,9606.ENSP00000311010,9606.ENSP00000278505,0,0,0,0,0,0,0,0.463,0.463
ELF5,ESR1,9606.ENSP00000311010,9606.ENSP00000405330,0,0,0,0,0,0.07,0,0.461,0.477
EML1,SMG7,9606.ENSP00000334314,9606.ENSP00000425133,0,0,0,0,0,0.058,0,0.405,0.416
ENDOD1,ELF5,9606.ENSP00000278505,9606.ENSP00000311010,0,0,0,0,0,0,0,0.463,0.463
ERCC3,CDK13,9606.ENSP00000285398,9606.ENSP00000181839,0,0,0,0,0.056,0,0.54,0.145,0.596
ERCC3,POLE2,9606.ENSP00000285398,9606.ENSP00000216367,0,0,0,0,0.062,0,0.6,0.175,0.663
ERCC3,CCNT2,9606.ENSP00000285398,9606.ENSP00000264157,0,0,0,0,0.054,0.275,0.9,0.334,0.948
ERCC3,ESR1,9606.ENSP00000285398,9606.ENSP00000405330,0,0,0,0,0,0.042,0.54,0.125,0.58
ERCC3,UBE2I,9606.ENSP00000285398,9606.ENSP00000348056,0,0,0,0,0.062,0,0.9,0,0.902
ERCC3,GTF2H3,9606.ENSP00000285398,9606.ENSP00000445162,0,0,0,0,0.173,0.998,0.9,0.808,0.999
ESR1,LOX,9606.ENSP00000405330,9606.ENSP00000231004,0,0,0,0,0.062,0,0,0.525,0.535
ESR1,NR0B2,9606.ENSP00000405330,9606.ENSP00000254227,0,0,0,0,0.06,0.501,0.9,0.638,0.98
ESR1,CYP2C9,9606.ENSP00000405330,9606.ENSP00000260682,0,0,0,0,0.053,0.073,0,0.513,0.535
ESR1,SMAD2,9606.ENSP00000405330,9606.ENSP00000262160,0,0,0,0,0,0.501,0,0.812,0.903
ESR1,E2F3,9606.ENSP00000405330,9606.ENSP00000262904,0,0,0,0,0,0.056,0,0.402,0.411
ESR1,ERCC3,9606.ENSP00000405330,9606.ENSP00000285398,0,0,0,0,0,0.042,0.54,0.125,0.58
ESR1,ELF5,9606.ENSP00000405330,9606.ENSP00000311010,0,0,0,0,0,0.07,0,0.461,0.477
ESR1,TRIM24,9606.ENSP00000405330,9606.ENSP00000340507,0,0,0,0,0,0.875,0,0.867,0.982
ESR1,UBE2I,9606.ENSP00000405330,9606.ENSP00000348056,0,0,0,0,0,0.477,0.9,0.384,0.965
ESR1,CUEDC2,9606.ENSP00000405330,9606.ENSP00000358953,0,0,0,0,0,0.486,0,0.261,0.603
ESR1,NFKB2,9606.ENSP00000405330,9606.ENSP00000358983,0,0,0,0,0,0.078,0,0.386,0.41
ESR1,GNAS,9606.ENSP00000405330,9606.ENSP00000360141,0,0,0,0,0,0.056,0.9,0.274,0.925
ESR1,JUN,9606.ENSP00000405330,9606.ENSP00000360266,0,0,0,0,0,0.684,0.9,0.988,0.999
ESR1,CA9,9606.ENSP00000405330,9606.ENSP00000367608,0,0,0,0,0,0.056,0,0.423,0.432
ESR1,ALDOA,9606.ENSP00000405330,9606.ENSP00000378669,0,0,0,0,0,0.056,0.9,0.125,0.91
ESR1,HAMP,9606.ENSP00000405330,9606.ENSP00000471894,0,0,0,0,0.052,0,0,0.432,0.438
ESR1,HIST1H2BJ,9606.ENSP00000405330,9606.ENSP00000476136,0,0,0,0,0,0,0.6,0.071,0.612
ESR1,GTF2H3,9606.ENSP00000405330,9606.ENSP00000445162,0,0,0,0,0,0.042,0.72,0,0.72
FAM114A2,IQGAP1,9606.ENSP00000341597,9606.ENSP00000268182,0,0,0,0,0,0,0.6,0,0.6
FAM114A2,TRIM24,9606.ENSP00000341597,9606.ENSP00000340507,0,0,0,0,0,0,0.6,0.269,0.695
FAM120A,RC3H2,9606.ENSP00000277165,9606.ENSP00000362774,0,0,0,0,0.054,0.651,0,0,0.655
FARSA,EIF2AK1,9606.ENSP00000320309,9606.ENSP00000199389,0.073,0,0,0,0.221,0,0,0.302,0.451
FARSA,PRPS1,9606.ENSP00000320309,9606.ENSP00000361512,0,0,0,0,0.238,0.272,0,0.048,0.426
FBXW2,KMT2A,9606.ENSP00000476369,9606.ENSP00000436786,0,0,0,0,0.062,0,0,0.562,0.572
FCER2,CSF1,9606.ENSP00000264072,9606.ENSP00000327513,0,0,0,0,0,0,0.9,0.081,0.904
FKBP15,SNX1,9606.ENSP00000238256,9606.ENSP00000261889,0,0,0,0,0.094,0.058,0,0.386,0.431
GDF11,SMAD2,9606.ENSP00000257868,9606.ENSP00000262160,0,0,0,0,0.052,0.183,0,0.75,0.79
GDF2,SMAD2,9606.ENSP00000463051,9606.ENSP00000262160,0,0,0,0,0,0.148,0,0.605,0.649
GDF2,HAMP,9606.ENSP00000463051,9606.ENSP00000471894,0,0,0,0,0.065,0,0,0.403,0.417
GHRH,GHSR,9606.ENSP00000362716,9606.ENSP00000241256,0,0,0,0,0.062,0,0,0.796,0.801
GHRH,GNAS,9606.ENSP00000362716,9606.ENSP00000360141,0,0,0,0,0,0,0.6,0.47,0.778
GHSR,CPT1A,9606.ENSP00000241256,9606.ENSP00000265641,0,0,0,0,0,0,0,0.535,0.535
GHSR,GHRH,9606.ENSP00000241256,9606.ENSP00000362716,0,0,0,0,0.062,0,0,0.796,0.801
GNAS,ART1,9606.ENSP00000360141,9606.ENSP00000250693,0,0,0,0,0,0,0,0.431,0.431
GNAS,IQGAP1,9606.ENSP00000360141,9606.ENSP00000268182,0,0,0,0,0.066,0,0.65,0,0.659
GNAS,U2AFBP,9606.ENSP00000360141,9606.ENSP00000291552,0,0,0,0,0.048,0,0,0.456,0.459
GNAS,TACR1,9606.ENSP00000360141,9606.ENSP00000303522,0,0,0,0,0,0.062,0,0.477,0.488
GNAS,ADORA1,9606.ENSP00000360141,9606.ENSP00000356205,0,0,0,0,0.065,0.303,0,0.198,0.432
GNAS,GHRH,9606.ENSP00000360141,9606.ENSP00000362716,0,0,0,0,0,0,0.6,0.47,0.778
GNAS,ESR1,9606.ENSP00000360141,9606.ENSP00000405330,0,0,0,0,0,0.056,0.9,0.274,0.925
GOLGA2,GOSR2,9606.ENSP00000416097,9606.ENSP00000225567,0,0,0,0,0.074,0,0.6,0.522,0.807
GOSR2,SCARB2,9606.ENSP00000225567,9606.ENSP00000264896,0,0,0,0,0,0,0,0.706,0.706
GOSR2,VAMP1,9606.ENSP00000225567,9606.ENSP00000379602,0,0,0,0,0.103,0.247,0.54,0.283,0.747
GOSR2,GOLGA2,9606.ENSP00000225567,9606.ENSP00000416097,0,0,0,0,0.074,0,0.6,0.522,0.807
GTF2H3,CDK13,9606.ENSP00000445162,9606.ENSP00000181839,0,0,0,0,0.066,0,0.54,0.059,0.56
GTF2H3,POLE2,9606.ENSP00000445162,9606.ENSP00000216367,0,0,0,0,0.064,0,0.6,0.114,0.639
GTF2H3,NASP,9606.ENSP00000445162,9606.ENSP00000255120,0,0,0,0,0.064,0,0,0.404,0.418
GTF2H3,CCNT2,9606.ENSP00000445162,9606.ENSP00000264157,0,0,0,0,0.063,0.311,0.9,0.142,0.937
GTF2H3,ERCC3,9606.ENSP00000445162,9606.ENSP00000285398,0,0,0,0,0.173,0.998,0.9,0.808,0.999
GTF2H3,UBE2I,9606.ENSP00000445162,9606.ENSP00000348056,0,0,0,0,0.071,0,0.9,0,0.903
GTF2H3,ESR1,9606.ENSP00000445162,9606.ENSP00000405330,0,0,0,0,0,0.042,0.72,0,0.72
HADHA,ACO2,9606.ENSP00000370023,9606.ENSP00000216254,0,0,0,0,0.142,0.225,0,0.5,0.639
HADHA,ECH1,9606.ENSP00000370023,9606.ENSP00000221418,0,0.01,0,0.626,0.194,0.386,0,0.536,0.583
HADHA,CPT1A,9606.ENSP00000370023,9606.ENSP00000265641,0,0,0,0,0.062,0.116,0,0.62,0.657
HADHA,MRPL17,9606.ENSP00000370023,9606.ENSP00000288937,0,0,0,0,0.095,0.351,0,0.15,0.457
HAMP,ESR1,9606.ENSP00000471894,9606.ENSP00000405330,0,0,0,0,0.052,0,0,0.432,0.438
HAMP,GDF2,9606.ENSP00000471894,9606.ENSP00000463051,0,0,0,0,0.065,0,0,0.403,0.417
HIST1H2BJ,UBE2I,9606.ENSP00000476136,9606.ENSP00000348056,0,0,0,0,0.063,0.102,0.9,0.058,0.91
HIST1H2BJ,JUN,9606.ENSP00000476136,9606.ENSP00000360266,0,0,0,0,0,0,0.6,0,0.6
HIST1H2BJ,MAFB,9606.ENSP00000476136,9606.ENSP00000362410,0,0,0,0,0,0,0.6,0,0.6
HIST1H2BJ,CENPO,9606.ENSP00000476136,9606.ENSP00000370214,0,0,0,0,0,0,0.6,0,0.6
HIST1H2BJ,ESR1,9606.ENSP00000476136,9606.ENSP00000405330,0,0,0,0,0,0,0.6,0.071,0.612
HIST1H2BJ,KMT2A,9606.ENSP00000476136,9606.ENSP00000436786,0,0,0,0,0,0.08,0.6,0.06,0.623
HSPA6,NUP85,9606.ENSP00000310219,9606.ENSP00000245544,0,0,0,0,0,0,0.9,0.043,0.9
HSPA6,EIF2S1,9606.ENSP00000310219,9606.ENSP00000256383,0,0,0,0,0.262,0,0,0.299,0.46
IKZF1,CYTH4,9606.ENSP00000331614,9606.ENSP00000248901,0,0,0,0,0.578,0,0,0.062,0.587
IKZF1,U2AFBP,9606.ENSP00000331614,9606.ENSP00000291552,0,0,0,0,0,0.059,0,0.419,0.429
IKZF1,UBE2I,9606.ENSP00000331614,9606.ENSP00000348056,0,0,0,0,0,0.422,0,0.098,0.456
IKZF1,KMT2A,9606.ENSP00000331614,9606.ENSP00000436786,0,0,0,0,0.052,0.106,0,0.466,0.507
IQGAP1,ECH1,9606.ENSP00000268182,9606.ENSP00000221418,0,0,0,0,0,0.427,0,0,0.426
IQGAP1,SNX1,9606.ENSP00000268182,9606.ENSP00000261889,0,0,0,0,0.063,0,0,0.457,0.47
IQGAP1,FAM114A2,9606.ENSP00000268182,9606.ENSP00000341597,0,0,0,0,0,0,0.6,0,0.6
IQGAP1,TRIM24,9606.ENSP00000268182,9606.ENSP00000340507,0,0,0,0,0,0,0.6,0,0.6
IQGAP1,ACTR2,9606.ENSP00000268182,9606.ENSP00000367220,0,0,0,0,0.114,0.247,0,0.515,0.648
IQGAP1,GNAS,9606.ENSP00000268182,9606.ENSP00000360141,0,0,0,0,0.066,0,0.65,0,0.659
IQGAP1,ACTN1,9606.ENSP00000268182,9606.ENSP00000377941,0,0,0,0,0.134,0.248,0,0.528,0.666
IQGAP1,CTTN,9606.ENSP00000268182,9606.ENSP00000365745,0,0,0,0,0.062,0.151,0,0.809,0.835
ITGB5,ACTN1,9606.ENSP00000296181,9606.ENSP00000377941,0,0,0,0,0.096,0.074,0.6,0.305,0.736
JUN,EIF2AK1,9606.ENSP00000360266,9606.ENSP00000199389,0,0,0,0,0,0.213,0,0.404,0.511
JUN,LOX,9606.ENSP00000360266,9606.ENSP00000231004,0,0,0,0,0.061,0,0,0.455,0.466
JUN,NR0B2,9606.ENSP00000360266,9606.ENSP00000254227,0,0,0,0,0,0.066,0,0.762,0.768
JUN,EIF2S1,9606.ENSP00000360266,9606.ENSP00000256383,0,0,0,0,0,0.129,0,0.591,0.628
JUN,SMAD2,9606.ENSP00000360266,9606.ENSP00000262160,0,0,0,0,0,0.688,0,0.757,0.921
JUN,E2F3,9606.ENSP00000360266,9606.ENSP00000262904,0,0,0,0,0,0,0,0.405,0.405
JUN,KLF1,9606.ENSP00000360266,9606.ENSP00000264834,0,0,0,0,0,0.101,0,0.361,0.401
JUN,CPT1A,9606.ENSP00000360266,9606.ENSP00000265641,0,0,0,0,0,0,0.9,0.207,0.917
JUN,COPS6,9606.ENSP00000360266,9606.ENSP00000304102,0,0,0,0,0,0.407,0,0.241,0.531
JUN,MAPK7,9606.ENSP00000360266,9606.ENSP00000311005,0,0,0,0,0.062,0.213,0,0.688,0.75
JUN,CSF1,9606.ENSP00000360266,9606.ENSP00000327513,0,0,0,0,0.066,0,0,0.479,0.492
JUN,PRRC2C,9606.ENSP00000360266,9606.ENSP00000343629,0,0,0,0,0,0,0,0.467,0.467
JUN,UBE2I,9606.ENSP00000360266,9606.ENSP00000348056,0,0,0,0,0,0.686,0,0.678,0.894
JUN,TOP1,9606.ENSP00000360266,9606.ENSP00000354522,0,0,0,0,0,0.284,0,0.633,0.726
JUN,NFKB2,9606.ENSP00000360266,9606.ENSP00000358983,0,0,0,0,0.063,0,0,0.58,0.59
JUN,CYLD,9606.ENSP00000360266,9606.ENSP00000392025,0,0,0,0,0,0.182,0,0.411,0.498
JUN,HIST1H2BJ,9606.ENSP00000360266,9606.ENSP00000476136,0,0,0,0,0,0,0.6,0,0.6
JUN,MAFB,9606.ENSP00000360266,9606.ENSP00000362410,0,0,0,0,0.089,0.464,0.8,0.541,0.949
JUN,ESR1,9606.ENSP00000360266,9606.ENSP00000405330,0,0,0,0,0,0.684,0.9,0.988,0.999
KLC1,SMAD2,9606.ENSP00000414982,9606.ENSP00000262160,0,0,0,0,0.062,0.057,0,0.457,0.478
KLF1,JUN,9606.ENSP00000264834,9606.ENSP00000360266,0,0,0,0,0,0.101,0,0.361,0.401
KMT2A,IKZF1,9606.ENSP00000436786,9606.ENSP00000331614,0,0,0,0,0.052,0.106,0,0.466,0.507
KMT2A,PRRC2C,9606.ENSP00000436786,9606.ENSP00000343629,0,0,0,0,0.829,0,0,0.054,0.832
KMT2A,SETD5,9606.ENSP00000436786,9606.ENSP00000385852,0,0,0,0.54,0.826,0.157,0,0.444,0.876
KMT2A,FBXW2,9606.ENSP00000436786,9606.ENSP00000476369,0,0,0,0,0.062,0,0,0.562,0.572
KMT2A,HIST1H2BJ,9606.ENSP00000436786,9606.ENSP00000476136,0,0,0,0,0,0.08,0.6,0.06,0.623
LOX,SMAD2,9606.ENSP00000231004,9606.ENSP00000262160,0,0,0,0,0,0,0,0.459,0.459
LOX,JUN,9606.ENSP00000231004,9606.ENSP00000360266,0,0,0,0,0.061,0,0,0.455,0.466
LOX,ESR1,9606.ENSP00000231004,9606.ENSP00000405330,0,0,0,0,0.062,0,0,0.525,0.535
LOX,CA9,9606.ENSP00000231004,9606.ENSP00000367608,0,0,0,0,0.096,0,0,0.521,0.549
LST1,CYTH4,9606.ENSP00000365261,9606.ENSP00000248901,0,0,0,0,0.231,0,0,0.277,0.421
