Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,,,,,,,,
Chlorophenothane CTD 00005755,Feb-90,8.80E-04,0.024332169,0,0,56.53977273,397.7752224,JUN;ESR1,,,,,,,,
chrysin CTD 00001976,Feb-90,8.80E-04,0.024332169,0,0,56.53977273,397.7752224,JUN;ESR1,,,,,,,,
fenofibrate CTD 00006620,Feb-90,8.80E-04,0.024332169,0,0,56.53977273,397.7752224,JUN;ESR1,,,,,,,,
7,8-Benzoflavone CTD 00000606,Feb-91,9.00E-04,0.024332169,0,0,55.90168539,392.0586727,JUN;ESR1,,,,,,,
Diallyl trisulfide CTD 00001934,Feb-92,9.20E-04,0.024332169,0,0,55.27777778,386.4827801,JUN;ESR1,,,,,,,,
hexachlorophene CTD 00006092,Feb-92,9.20E-04,0.024332169,0,0,55.27777778,386.4827801,UBE2I;ESR1,,,,,,,,
Vorinostat CTD 00003560,3/425,0.00102304,0.02656043,0,0,19.87271496,136.8231828,JUN;UBE2I;ESR1,,,,,,,,
okadaic acid CTD 00007275,Feb-99,0.001063621,0.027102646,0,0,51.27061856,351.0025453,JUN;ESR1,,,,,,,,
METHAMPHETAMINE CTD 00006286,2/101,0.001106663,0.027246065,0,0,50.22979798,341.8843944,JUN;ESR1,,,,,,,,
camptothecin PC3 UP,3/437,0.001108851,0.027246065,0,0,19.31138907,131.4030051,JUN;UBE2I;MRPS11,,,,,,,,
cholecalciferol CTD 00005655,2/104,0.001172782,0.028311361,0,0,48.74509804,328.9502922,JUN;ESR1,,,,,,,,
kaempferol CTD 00000297,2/106,0.001217896,0.028666629,0,0,47.80288462,320.7875075,JUN;ESR1,,,,,,,,
chlortetracycline HL60 DOWN,4/1050,0.001229165,0.028666629,0,0,12.07393244,80.91249415,RPL37A;MRPL16;MRPL17;MRPL22,,,,,,,,
docetaxel CTD 00002688,2/110,0.001310602,0.030056468,0,0,46.02314815,305.4680074,JUN;ESR1,,,,,,,,
hexachlorophene,2/111,0.001334294,0.030098164,0,0,45.59862385,301.8333994,UBE2I;ESR1,,,,,,,,
apigenin CTD 00007429,2/112,0.001358191,0.030143081,0,0,45.18181818,298.2723581,JUN;ESR1,,,,,,,,
celecoxib CTD 00003448,2/116,0.001455836,0.0317973,0,0,43.5877193,284.7226188,JUN;ESR1,,,,,,,,
luteolin CTD 00007430,2/120,0.001556759,0.033470316,0,0,42.10169492,272.1937421,JUN;ESR1,,,,,,,,
daidzein CTD 00000166,2/127,0.001741231,0.036860525,0,0,39.73,252.4111589,JUN;ESR1,,,,,,,,
acetaldehyde CTD 00005293,2/129,0.001795768,0.036880243,0,0,39.1003937,247.205306,JUN;ESR1,,,,,,,,
paclitaxel PC3 UP,2/129,0.001795768,0.036880243,0,0,39.1003937,247.205306,UBE2I;RPL37A,,,,,,,,
thimerosal CTD 00006868,2/131,0.001851115,0.037457856,0,0,38.49031008,242.1797654,JUN;ESR1,,,,,,,,
lindane CTD 00001115,2/132,0.001879092,0.037472914,0,0,38.19230769,239.7318329,JUN;ESR1,,,,,,,,
pyrvinium HL60 UP,2/137,0.002022009,0.03839401,0,0,36.76851852,228.0995256,JUN;RPL37A,,,,,,,,
ACROLEIN CTD 00005313,2/139,0.002080586,0.03839401,0,0,36.22810219,223.7123537,JUN;ESR1,,,,,,,,
colchicine CTD 00005701,2/140,0.002110177,0.03839401,0,0,35.96376812,221.5721844,JUN;ESR1,,,,,,,,
ellagic acid CTD 00005891,2/146,0.002291932,0.03839401,0,0,34.45486111,209.4290608,JUN;ESR1,,,,,,,,
vincristine CTD 00006988,4/1245,0.002316557,0.03839401,0,0,10.07198496,61.11351228,JUN;UBE2I;RPL37A;ESR1,,,,,,,,
cinnamaldehyde CTD 00000671,2/165,0.002914788,0.03839401,0,0,30.4095092,177.5294452,JUN;ESR1,,,,,,,,
glibenclamide HL60 DOWN,4/1333,0.002979001,0.03839401,0,0,9.360923,54.44469485,UBE2I;RPL37A;MRPL17;MRPL22,,,,,,,,
ambroxol PC3 UP,2/175,0.003271204,0.03839401,0,0,28.63728324,163.8796378,UBE2I;RPL37A,,,,,,,,
parthenolide HL60 DOWN,2/181,0.003494428,0.03839401,0,0,27.66899441,156.5120381,UBE2I;MRPL16,,,,,,,,
5,6-BENZOFLAVONE CTD 00007276,2/182,0.003532312,0.03839401,0,0,27.51388889,155.3379886,JUN;ESR1,,,,,,,
Copper(II) chloride CTD 00001408,2/184,0.003608662,0.03839401,0,0,27.20879121,153.0336212,JUN;ESR1,,,,,,,,
folic acid CTD 00005997,2/194,0.004002003,0.03839401,0,0,25.77864583,142.3228826,JUN;ESR1,,,,,,,,
sanguinarine MCF7 UP,2/196,0.00408298,0.03839401,0,0,25.51030928,140.3303812,JUN;GTF2H3,,,,,,,,
2,2',4,4',5,5'-Hexachlorobiphenyl CTD 00000731,2/208,0.004584895,0.03839401,0,0,24.00970874,129.2919963,JUN;ESR1,,,
lobeline HL60 DOWN,4/1510,0.004694513,0.03839401,0,0,8.182381585,43.86870075,RPL37A;MRPL16;MRPL17;MRPL22,,,,,,,,
Cube root extract CTD 00006707,2/211,0.004714653,0.03839401,0,0,23.66148325,126.7564583,JUN;ESR1,,,,,,,,
Alitretinoin CTD 00003402,2/212,0.004758284,0.03839401,0,0,23.54761905,125.9295613,JUN;ESR1,,,,,,,,
camptothecin MCF7 UP,2/222,0.00520497,0.03839401,0,0,22.46590909,118.1289263,JUN;MRPS11,,,,,,,,
EINECS 250-892-2 CTD 00001193,2/223,0.005250672,0.03839401,0,0,22.36312217,117.3929559,JUN;ESR1,,,,,,,,
PHENCYCLIDINE CTD 00005881,2/226,0.005388902,0.03839401,0,0,22.06026786,115.2299047,JUN;ESR1,,,,,,,,
LY 294002 CTD 00003061,2/227,0.005435352,0.03839401,0,0,21.96111111,114.5234821,JUN;ESR1,,,,,,,,
FENRETINIDE CTD 00007166,2/228,0.005481989,0.03839401,0,0,21.86283186,113.8241824,JUN;ESR1,,,,,,,,
GLYOXAL CTD 00006046,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
6401-97-4 CTD 00000925,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,JUN,,,,,,,,
fluorescein CTD 00007300,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
PROFENOFOS CTD 00001129,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
Tetramethrin CTD 00000484,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
fludrocortisone CTD 00005975,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
P-CRESOL CTD 00001567,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
estramustine CTD 00005921,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
Triciribine CTD 00001109,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
TRIPHENYL PHOSPHATE CTD 00000228,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
proscillaridin CTD 00006639,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
PHENTHOATE CTD 00000434,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
BENZOYL PEROXIDE CTD 00005495,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,JUN,,,,,,,,
buspirone CTD 00005542,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
Bisphenol AF CTD 00005240,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
1,3,5[10]-Estratriene-2,3-diol-17-one CTD 00001165,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,
2-Ethylhexyl 2-cyano-3,3-diphenylacrylate CTD 00003128,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,
PIMARIC ACID CTD 00000440,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,JUN,,,,,,,,
Razoxane CTD 00006692,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,JUN,,,,,,,,
MCDF CTD 00002334,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
Tonalid CTD 00001589,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
4,4'-METHYLENEBIS(2-CHLOROANILINE) CTD 00006314,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,
thiopental CTD 00006876,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,JUN,,,,,,,,
propyl gallate CTD 00006637,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
Cyprodinil CTD 00003503,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
Kinichron TTD 00008790,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
Vatalanib succinate TTD 00011775,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
ibuprofen TTD 00008500,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
formononetin TTD 00008100,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
testosterone TTD 00011400,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
Acitretin TTD 00001573,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
ergocalciferol TTD 00007877,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
Gefitinib TTD 00008188,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
Chlorpyrifos oxon TTD 00007150,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
equilin TTD 00007874,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
nilutamide TTD 00009675,01-Nov,0.005487568,0.03839401,0,0,222,1155.569978,ESR1,,,,,,,,
levonorgestrel HL60 UP,2/231,0.005623019,0.03839401,0,0,21.5731441,111.7680128,RPL37A;ESR1,,,,,,,,
1-NITROPYRENE CTD 00001569,2/234,0.005765723,0.03839401,0,0,21.29094828,109.7723983,JUN;ESR1,,,,,,,,
ampyrone HL60 DOWN,3/781,0.005793631,0.03839401,0,0,10.58318032,54.51392092,UBE2I;MRPL16;RPL26L1,,,,,,,,
4-Cumylphenol CTD 00004651,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
2-aminofluorene CTD 00000638,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
Difenoconazole CTD 00003609,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
Enzacamene CTD 00001812,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
Propyl 4-hydroxybenzoate CTD 00000273,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
mycophenolate mofetil CTD 00002572,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
Cerebrosterol CTD 00001995,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
678-39-7 CTD 00001619,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
nilutamide CTD 00001040,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
Trametinib CTD 00005130,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,JUN,,,,,,,,
dioxybenzone CTD 00000176,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
2-NAPHTHOL CTD 00001340,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
1,1-Bis(4-hydroxyphenyl)-2-phenylbut-1-ene CTD 00002234,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,
triazolam CTD 00006926,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
TRIADIMEFON CTD 00001578,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
Cladribine TTD 00007218,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
dienestrol TTD 00007567,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
calcitriol TTD 00002649,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
483-60-3 TTD 00001059,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
mestranol TTD 00009212,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
troglitazone TTD 00011580,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,ESR1,,,,,,,,
hyperforin CTD 00000051,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,JUN,,,,,,,,
2-Aminobiphenyl CTD 00000776,01-Dec,0.005985094,0.03839401,0,0,201.8080808,1032.951295,JUN,,,,,,,,
1-chloro-2,4-dinitrobenzene CTD 00005848,2/242,0.006154418,0.03839401,0,0,20.57291667,104.728181,JUN;ESR1,,,,,,,
Quinizarin CTD 00001664,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
nabumetone CTD 00001691,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
1-BROMOPROPANE CTD 00003657,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
3,3'-DICHLOROBENZIDINE CTD 00007031,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,
AZARIBINE CTD 00003341,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
diarylpropionitrile CTD 00004308,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
4-tert-Butylphenol CTD 00000316,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
CYHALOTHRIN CTD 00001754,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
ADAPALENE CTD 00002588,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
cccp CTD 00005589,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
SERTINDOLE CTD 00002659,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
Enilconazole CTD 00000896,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
Trabectedin CTD 00003298,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
N,N-Diethyl-3-methylbenzamide CTD 00005758,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,
2,4,6-tribromophenol CTD 00000150,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,
meloxicam CTD 00002644,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
VECURONIUM BROMIDE CTD 00006983,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
equilin CTD 00005912,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
oxybenzone CTD 00000215,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
N,N-Dimethyl-4-nitrosoaniline CTD 00000422,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,
Triphenyltin hydroxide CTD 00000355,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
2-Phenylphenol CTD 00000139,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
Penconazole CTD 00003093,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
O,P'-DDE CTD 00002333,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,
SERTINDOLE TTD 00010935,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
danazol TTD 00007428,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
flutamide TTD 00008081,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
4-Hexylresorcinol TTD 00000977,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
Cytomel TTD 00007391,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
RUTIN TTD 00010730,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
oxiconazole TTD 00009973,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
FLAVONE TTD 00008046,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
Pazopanib TTD 00010053,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
quinidine TTD 00010458,Jan-13,0.006482395,0.03839401,0,0,184.9814815,932.0597464,ESR1,,,,,,,,
topotecan CTD 00007293,2/250,0.006554908,0.03839401,0,0,19.90120968,100.0541523,JUN;UBE2I,,,,,,,,
NIMUSTINE CTD 00007067,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,JUN,,,,,,,,
pirarubicin CTD 00001278,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
Calcipotriol hydrate CTD 00002337,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
5630-53-5 CTD 00001286,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
Phylloquinone CTD 00006555,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,JUN,,,,,,,,
thiabendazole CTD 00006863,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
11032-49-8 CTD 00007385,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
mestranol CTD 00006278,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
methanol CTD 00005338,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
alachlor CTD 00000004,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
Perfluoroundecanoic acid CTD 00003373,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
Pazopanib CTD 00004656,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
tcpobop CTD 00001345,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
cephalothin CTD 00005614,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
phenylbutazone TTD 00010195,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
GNF-Pf-3955 TTD 00008269,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
ILOPROST CTD 00007112,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
37686-84-3 CTD 00000277,Jan-14,0.006979474,0.03839401,0,0,170.7435897,847.7046615,ESR1,,,,,,,,
PD 98059 CTD 00003206,2/262,0.007177577,0.03839401,0,0,18.97115385,93.65666612,JUN;ESR1,,,,,,,,
piperlongumine MCF7 DOWN,2/262,0.007177577,0.03839401,0,0,18.97115385,93.65666612,RPL37A;ESR1,,,,,,,,
dienestrol CTD 00005809,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
acetochlor CTD 00001969,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
Dibenzoylmethane CTD 00002537,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
oxymetholone CTD 00006456,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
Homocastasterone CTD 00002741,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
4-Hexylresorcinol CTD 00006098,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
alfacalcidol CTD 00000387,Jan-15,0.007476328,0.03839401,0,0,158.5396825,776.2124253,ESR1,,,,,,,,
