ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
215919_s_at,0.1286,0.0002861,4.142345,0.35022,0.6897908,MRPS11,mitochondrial ribosomal protein S11
218508_at,0.1286,0.0002931,4.133397,0.32974,0.8029,DCP1A,decapping mRNA 1A
221933_at,0.1286,0.0002967,4.12878,0.31917,1.3392812,NLGN4X,"neuroligin 4, X-linked"
217723_x_at,0.1286,0.0003025,-4.121577,0.30269,-0.8806012,RPS12,ribosomal protein S12
213381_at,0.1286,0.0003056,4.11782,0.29409,1.7996812,VSTM4,V-set and transmembrane domain containing 4
212167_s_at,0.1286,0.0003096,4.113058,0.2832,1.1081404,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
210882_s_at,0.1286,0.0003117,4.110538,0.27744,1.5864842,TRO,trophinin
213563_s_at,0.1288,0.0003179,-4.103186,0.26063,-0.7923938,TUBGCP2,tubulin gamma complex associated protein 2
204371_s_at,0.1289,0.0003254,-4.094542,0.24087,-0.7857142,KHSRP,KH-type splicing regulatory protein
213364_s_at,0.1289,0.0003314,4.087818,0.2255,1.4993771,SNX1,sorting nexin 1
204400_at,0.1289,0.0003388,4.079512,0.20652,1.9492337,EFS,embryonal Fyn-associated substrate
204849_at,0.1289,0.0003464,4.071291,0.18774,1.1140254,TCFL5,transcription factor like 5
206309_at,0.1289,0.0003471,-4.070538,0.18602,-0.5598363,LECT1,leukocyte cell derived chemotaxin 1
210477_x_at,0.131,0.0003597,-4.057311,0.15583,-0.8001775,MAPK8,mitogen-activated protein kinase 8
211794_at,0.131,0.0003757,-4.041082,0.1188,-0.65873,FYB,FYN binding protein
206136_at,0.131,0.0003765,-4.04028,0.11697,-0.9727767,FZD5,frizzled class receptor 5
202476_s_at,0.131,0.0003933,-4.024073,0.08001,-0.812035,TUBGCP2,tubulin gamma complex associated protein 2
201842_s_at,0.131,0.0003956,4.021902,0.07506,2.7334642,EFEMP1,EGF containing fibulin like extracellular matrix protein 1
220968_s_at,0.131,0.0003997,4.018061,0.06631,0.7643571,TSPAN9,tetraspanin 9
220399_at,0.131,0.0004023,4.015643,0.0608,0.6456921,LINC00115,long intergenic non-protein coding RNA 115
201182_s_at,0.131,0.0004049,-4.013224,0.05529,-0.7047492,CHD4,chromodomain helicase DNA binding protein 4
219847_at,0.131,0.0004062,-4.012098,0.05272,-0.5805504,HDAC11,histone deacetylase 11
213795_s_at,0.131,0.0004115,4.007193,0.04155,0.6333604,PTPRA,"protein tyrosine phosphatase, receptor type A"
219200_at,0.1323,0.0004216,3.998207,0.02108,0.8214463,FASTKD3,FAST kinase domains 3
202686_s_at,0.1332,0.0004304,3.990494,0.00353,2.0105354,AXL,AXL receptor tyrosine kinase
208538_at,0.1394,0.0004568,-3.968264,-0.04705,-0.5981304,ANP32C,acidic nuclear phosphoprotein 32 family member C
220102_at,0.1446,0.0004802,3.949593,-0.08949,2.9712033,FOXL2,forkhead box L2
204225_at,0.1458,0.0004907,3.941534,-0.10779,1.1165192,HDAC4,histone deacetylase 4
220770_s_at,0.1471,0.0005015,3.933342,-0.12639,0.9420262,ZBED8,zinc finger BED-type containing 8
211677_x_at,0.1496,0.0005218,-3.918524,-0.16002,-0.7547396,CADM3,cell adhesion molecule 3
203288_at,0.1496,0.000526,3.91556,-0.16674,1.1720246,KIAA0355,KIAA0355
205880_at,0.1496,0.0005305,3.912373,-0.17397,1.4031667,PRKD1,protein kinase D1
218573_at,0.1568,0.0005682,3.886598,-0.23238,1.8172633,MAGEH1,MAGE family member H1
205323_s_at,0.1568,0.0005803,3.878744,-0.25017,0.6645233,MTF1,metal regulatory transcription factor 1
213500_at,0.1568,0.0005817,3.877823,-0.25225,0.9247133,,
205345_at,0.1568,0.0005859,3.875121,-0.25837,1.1498667,BARD1,BRCA1 associated RING domain 1
117_at,0.1568,0.0005911,-3.871802,-0.26588,-0.7538679,HSPA6,heat shock protein family A (Hsp70) member 6
209737_at,0.1568,0.0005982,3.867316,-0.27603,1.0150038,MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2"
203633_at,0.1581,0.0006378,3.843233,-0.33048,0.8736429,CPT1A,carnitine palmitoyltransferase 1A
204339_s_at,0.1581,0.0006389,3.842637,-0.33182,1.29924,RGS4,regulator of G-protein signaling 4
221898_at,0.1581,0.0006435,3.839895,-0.33802,0.7936979,PDPN,podoplanin
214925_s_at,0.1581,0.0006486,3.836965,-0.34464,1.3336696,SPTAN1,"spectrin alpha, non-erythrocytic 1"
215806_x_at,0.1581,0.0006542,3.833708,-0.35199,0.9292442,TARP///TRGV9///TRGC2,TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
396_f_at,0.1581,0.0006633,-3.828538,-0.36366,-0.8170679,EPOR,erythropoietin receptor
219522_at,0.1581,0.0006676,3.826103,-0.36916,1.8189625,FJX1,four jointed box 1
213442_x_at,0.1581,0.0006699,-3.824819,-0.37206,-0.5525171,SPDEF,SAM pointed domain containing ETS transcription factor
220144_s_at,0.1581,0.000677,-3.820843,-0.38103,-0.5160813,ANKEF1,ankyrin repeat and EF-hand domain containing 1
209732_at,0.1581,0.0006806,3.81884,-0.38555,1.4551817,CLEC2B,C-type lectin domain family 2 member B
220413_at,0.1581,0.0006826,-3.817723,-0.38807,-0.6143696,SLC39A2,solute carrier family 39 member 2
210461_s_at,0.1581,0.0006884,-3.814536,-0.39526,-1.1328625,ABLIM1,actin binding LIM protein 1
207412_x_at,0.1584,0.0006986,-3.809037,-0.40766,-0.8865204,CELP,carboxyl ester lipase pseudogene
214238_at,0.1584,0.0007199,3.797693,-0.43323,2.70831,GDF7,growth differentiation factor 7
206637_at,0.1584,0.0007356,3.789599,-0.45147,2.5823825,P2RY14,purinergic receptor P2Y14
213205_s_at,0.1584,0.000748,3.783266,-0.46573,0.7554108,RAD54L2,RAD54-like 2 (S. cerevisiae)
213262_at,0.1584,0.0007497,3.782411,-0.46765,1.1942396,SACS,sacsin molecular chaperone
215556_at,0.1584,0.00075,-3.782269,-0.46797,-0.4203225,,
206246_at,0.1584,0.0007505,-3.781998,-0.46858,-0.5111771,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"
212554_at,0.1584,0.0007613,3.776604,-0.48072,0.9423225,CAP2,"CAP, adenylate cyclase-associated protein, 2 (yeast)"
206638_at,0.1584,0.000767,3.773836,-0.48695,2.2893658,HTR2B,5-hydroxytryptamine receptor 2B
207667_s_at,0.1584,0.0007686,-3.773023,-0.48878,-0.6952875,LOC100996792///MAP2K3,dual specificity mitogen-activated protein kinase kinase 3///mitogen-activated protein kinase kinase 3
210276_s_at,0.1584,0.0007739,3.770457,-0.49455,1.1955887,NOL12///TRIOBP,nucleolar protein 12///TRIO and F-actin binding protein
209849_s_at,0.1584,0.0007749,3.769931,-0.49574,0.6429896,RAD51C,RAD51 paralog C
209838_at,0.1599,0.0007939,3.760818,-0.51623,0.7399567,COPS2,COP9 signalosome subunit 2
219288_at,0.1599,0.0008044,3.755852,-0.52739,1.2377792,C3orf14,chromosome 3 open reading frame 14
215353_at,0.1599,0.0008125,-3.75207,-0.53589,-0.4564321,GIMAP5,"GTPase, IMAP family member 5"
214879_x_at,0.1599,0.0008346,-3.741926,-0.55867,-0.6520471,USF2,"upstream transcription factor 2, c-fos interacting"
218801_at,0.1599,0.0008389,3.739959,-0.56309,0.7183271,UGGT2,UDP-glucose glycoprotein glucosyltransferase 2
218081_at,0.1599,0.0008454,3.737058,-0.5696,1.0745379,C20orf27,chromosome 20 open reading frame 27
203027_s_at,0.1599,0.0008582,-3.731369,-0.58237,-0.6472054,MVD,mevalonate diphosphate decarboxylase
204310_s_at,0.1599,0.0008657,3.728089,-0.58973,1.9657329,NPR2,natriuretic peptide receptor 2
213640_s_at,0.1599,0.0008868,-3.718974,-0.61017,-0.7361267,LOX,lysyl oxidase
208056_s_at,0.1599,0.0008889,3.718061,-0.61222,0.7896642,CBFA2T3,CBFA2/RUNX1 translocation partner 3
215471_s_at,0.1599,0.0008934,-3.716152,-0.6165,-0.9600221,MAP7,microtubule associated protein 7
215039_at,0.1599,0.0008988,3.713896,-0.62155,0.8452875,LINC01140,long intergenic non-protein coding RNA 1140
202766_s_at,0.1599,0.0009363,3.698385,-0.6563,2.7233113,FBN1,fibrillin 1
202340_x_at,0.1599,0.0009434,3.695546,-0.66265,1.8873433,NR4A1,nuclear receptor subfamily 4 group A member 1
218892_at,0.1599,0.0009459,3.694551,-0.66488,1.4632975,DCHS1,dachsous cadherin-related 1
203918_at,0.1599,0.0009546,-3.691054,-0.6727,-0.92639,PCDH1,protocadherin 1
209376_x_at,0.1599,0.0009571,-3.690091,-0.67486,-1.6316321,SCAF11,SR-related CTD associated factor 11
206614_at,0.1599,0.0009661,-3.686506,-0.68288,-0.6498767,GDF5,growth differentiation factor 5
211120_x_at,0.1599,0.0009688,-3.685461,-0.68522,-0.58221,ESR2,estrogen receptor 2
207083_s_at,0.1599,0.0009691,-3.68536,-0.68544,-0.5510042,CC2D1A,coiled-coil and C2 domain containing 1A
205632_s_at,0.1599,0.000972,3.684226,-0.68798,2.2855383,PIP5K1B,phosphatidylinositol-4-phosphate 5-kinase type 1 beta
213122_at,0.1599,0.0009756,3.682829,-0.6911,2.2489687,TSPYL5,TSPY like 5
213224_s_at,0.1599,0.0009987,3.67394,-0.71097,0.6758046,BBIP1,BBSome interacting protein 1
200635_s_at,0.1599,0.0010005,-3.673257,-0.7125,-1.3920746,PTPRF,"protein tyrosine phosphatase, receptor type F"
205226_at,0.1599,0.0010092,3.669964,-0.71986,1.0781771,PDGFRL,platelet derived growth factor receptor like
217902_s_at,0.1599,0.0010125,3.668706,-0.72267,1.0645992,HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2
206362_x_at,0.1599,0.0010205,-3.665731,-0.72931,-0.7453912,MAP3K10,mitogen-activated protein kinase kinase kinase 10
208269_s_at,0.1599,0.0010289,-3.662637,-0.73623,-1.0911212,ADAM28,ADAM metallopeptidase domain 28
33646_g_at,0.1599,0.0010297,-3.662342,-0.73688,-0.5879167,GM2A,GM2 ganglioside activator
219303_at,0.1599,0.0010395,3.658723,-0.74496,0.5603183,RNF219,ring finger protein 219
215069_at,0.1599,0.001043,3.657465,-0.74777,0.6228433,NMT2,N-myristoyltransferase 2
205784_x_at,0.1599,0.0010534,-3.653673,-0.75623,-0.8007083,ARVCF,armadillo repeat gene deleted in velocardiofacial syndrome
215116_s_at,0.1599,0.0010694,3.647953,-0.769,1.81978,DNM1,dynamin 1
206130_s_at,0.1599,0.0010813,-3.643722,-0.77843,-0.6955458,ASGR2,asialoglycoprotein receptor 2
220319_s_at,0.1599,0.0010819,3.643532,-0.77886,1.1189363,MYLIP,myosin regulatory light chain interacting protein
209918_at,0.1599,0.0010847,-3.642538,-0.78107,-0.6577833,GGTLC2,gamma-glutamyltransferase light chain 2
220331_at,0.1599,0.0010935,3.639481,-0.78789,0.8758987,CYP46A1,cytochrome P450 family 46 subfamily A member 1
205545_x_at,0.1599,0.0010974,3.638108,-0.79095,0.6628121,DNAJC8,DnaJ heat shock protein family (Hsp40) member C8
204154_at,0.1599,0.0011038,3.635912,-0.79584,1.1306817,CDO1,cysteine dioxygenase type 1
220443_s_at,0.1599,0.0011128,-3.632813,-0.80275,-0.69802,VAX2,ventral anterior homeobox 2
212608_s_at,0.1599,0.0011204,3.630232,-0.8085,1.0849233,NUDT3,nudix hydrolase 3
220953_s_at,0.1599,0.0011327,-3.62607,-0.81777,-0.6758742,MTMR12,myotubularin related protein 12
209298_s_at,0.1599,0.0011343,3.625524,-0.81898,0.6342813,ITSN1,intersectin 1
212985_at,0.1599,0.001142,3.622946,-0.82473,1.10871,APBB2,amyloid beta precursor protein binding family B member 2
206954_at,0.1599,0.0011511,3.619939,-0.83142,1.5345967,WT1-AS,WT1 antisense RNA
216176_at,0.1599,0.0011561,3.618283,-0.8351,1.2654713,HCRP1,hepatocellular carcinoma-related HCRP1
38447_at,0.1599,0.0011584,-3.617508,-0.83683,-0.5820137,GRK2,G protein-coupled receptor kinase 2
219116_s_at,0.1599,0.0011607,3.616751,-0.83851,0.7056312,DCUN1D2,defective in cullin neddylation 1 domain containing 2
203903_s_at,0.1599,0.0011645,3.615512,-0.84127,2.1149646,HEPH,hephaestin
214434_at,0.1599,0.0011769,3.611464,-0.85028,1.2211383,HSPA12A,heat shock protein family A (Hsp70) member 12A
214542_x_at,0.1599,0.0011805,-3.610298,-0.85287,-0.726735,HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI,"histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2am///histone cluster 1, H2al///histone cluster 1, H2ak///histone cluster 1, H2ai"
218370_s_at,0.1599,0.0011834,3.609385,-0.8549,1.0653204,S100PBP,S100P binding protein
204117_at,0.1599,0.0011851,3.608828,-0.85614,0.7475075,PREP,prolyl endopeptidase
203562_at,0.1599,0.0011875,3.608048,-0.85787,1.4101325,FEZ1,fasciculation and elongation protein zeta 1
221838_at,0.1599,0.0011968,3.605098,-0.86443,1.1071363,KLHL22,kelch like family member 22
210380_s_at,0.1599,0.0011982,3.604652,-0.86542,1.0804538,CACNA1G,calcium voltage-gated channel subunit alpha1 G
209375_at,0.1599,0.0012015,3.603593,-0.86778,0.6704712,XPC,"XPC complex subunit, DNA damage recognition and repair factor"
216429_at,0.1599,0.001204,-3.602811,-0.86952,-0.5154196,,
222311_s_at,0.1599,0.0012059,3.602189,-0.8709,0.9789633,SCAF4,SR-related CTD associated factor 4
205469_s_at,0.1606,0.0012229,-3.596861,-0.88274,-0.7236404,IRF5,interferon regulatory factor 5
203940_s_at,0.1606,0.0012388,3.591918,-0.89372,1.2510446,VASH1,vasohibin 1
221741_s_at,0.1606,0.0012411,3.591204,-0.89531,0.5722654,YTHDF1,YTH N6-methyladenosine RNA binding protein 1
200727_s_at,0.1606,0.0012422,-3.590891,-0.896,-1.3999271,ACTR2,ARP2 actin related protein 2 homolog
221806_s_at,0.1606,0.0012493,3.58869,-0.90089,0.9086129,SETD5,SET domain containing 5
205182_s_at,0.1606,0.0012547,3.587053,-0.90452,0.6431879,ZNF324,zinc finger protein 324
219838_at,0.1606,0.0012611,3.585111,-0.90883,0.881055,TTC23,tetratricopeptide repeat domain 23
205992_s_at,0.1606,0.0012688,3.582784,-0.914,1.0290283,IL15,interleukin 15
219142_at,0.1625,0.0012911,3.576117,-0.92879,1.261555,RASL11B,RAS like family 11 member B
218284_at,0.1636,0.0013069,3.57148,-0.93907,1.3872175,SMAD3,SMAD family member 3
209530_at,0.1644,0.0013225,3.56695,-0.94912,1.1417642,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3
213661_at,0.1644,0.0013324,3.564091,-0.95545,2.5338796,PAMR1,peptidase domain containing associated with muscle regeneration 1
220073_s_at,0.1644,0.0013384,-3.562377,-0.95925,-0.696255,PLEKHG6,pleckstrin homology and RhoGEF domain containing G6
207869_s_at,0.1644,0.0013427,3.561141,-0.96199,0.5760779,CACNA1G,calcium voltage-gated channel subunit alpha1 G
207372_s_at,0.1669,0.001385,-3.549272,-0.98827,-0.6867279,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2
212005_at,0.1669,0.0013914,3.547513,-0.99216,0.749255,SZRD1,SUZ RNA binding domain containing 1
201316_at,0.1669,0.0013936,3.546905,-0.99351,0.8285687,PSMA2,proteasome subunit alpha 2
204749_at,0.1669,0.0013956,3.546345,-0.99474,2.0148963,NAP1L3,nucleosome assembly protein 1 like 3
205578_at,0.1669,0.0014005,3.545021,-0.99768,0.7135362,ROR2,receptor tyrosine kinase like orphan receptor 2
215336_at,0.1701,0.0014351,3.535645,-1.01841,0.5603979,AKAP11,A-kinase anchoring protein 11
202661_at,0.1708,0.0014489,3.531997,-1.02647,0.5986871,ITPR2,"inositol 1,4,5-trisphosphate receptor type 2"
217980_s_at,0.1719,0.0014661,3.527449,-1.03652,0.7712425,MRPL16,mitochondrial ribosomal protein L16
204222_s_at,0.1727,0.0014828,3.523123,-1.04607,1.6044871,GLIPR1,GLI pathogenesis related 1
210782_x_at,0.1727,0.0014883,-3.521685,-1.04925,-1.0240271,GRIN1,glutamate ionotropic receptor NMDA type subunit 1
212880_at,0.1736,0.0015079,3.516677,-1.0603,0.8300596,WDR7,WD repeat domain 7
218593_at,0.1736,0.0015132,3.515338,-1.06326,0.7038758,RBM28,RNA binding motif protein 28
220512_at,0.1736,0.001519,3.513852,-1.06654,0.9078179,DLC1,DLC1 Rho GTPase activating protein
206333_at,0.175,0.0015421,-3.508063,-1.07931,-0.6907887,MSI1,musashi RNA binding protein 1
203522_at,0.175,0.0015512,3.505789,-1.08432,0.7116808,CCS,copper chaperone for superoxide dismutase
203666_at,0.175,0.0015621,3.503107,-1.09023,1.9592637,CXCL12,C-X-C motif chemokine ligand 12
203298_s_at,0.175,0.0015641,3.502614,-1.09132,1.0327892,JARID2,jumonji and AT-rich interaction domain containing 2
221354_s_at,0.175,0.0015711,-3.500892,-1.09511,-0.497685,MCHR1,melanin concentrating hormone receptor 1
205787_x_at,0.1751,0.0015886,-3.496644,-1.10447,-0.9609438,LOC441155///ZC3H11A,zinc finger CCCH-type domain-containing-like///zinc finger CCCH-type containing 11A
201451_x_at,0.1751,0.0015923,-3.495752,-1.10644,-0.9637175,RHEB,Ras homolog enriched in brain
220801_s_at,0.1751,0.0015951,-3.495084,-1.10791,-0.4354663,HAO2,hydroxyacid oxidase 2
222146_s_at,0.1756,0.0016074,3.492112,-1.11446,1.6513729,TCF4,transcription factor 4
201865_x_at,0.1758,0.0016175,3.489703,-1.11976,1.7568937,NR3C1,nuclear receptor subfamily 3 group C member 1
212796_s_at,0.1801,0.0016652,3.478529,-1.14435,1.3733904,TBC1D2B,TBC1 domain family member 2B
34726_at,0.1805,0.0016849,3.473998,-1.15431,1.0330829,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3
209726_at,0.1805,0.0016849,3.473988,-1.15433,0.9819287,CA11,carbonic anhydrase 11
218128_at,0.1819,0.0017128,3.467655,-1.16825,0.4962042,NFYB,nuclear transcription factor Y subunit beta
206410_at,0.1819,0.0017236,-3.465252,-1.17353,-0.4717417,NR0B2,nuclear receptor subfamily 0 group B member 2
203472_s_at,0.1819,0.0017286,-3.464124,-1.17601,-0.5827708,SLCO2B1,solute carrier organic anion transporter family member 2B1
217762_s_at,0.1819,0.0017311,3.463562,-1.17724,1.8421238,RAB31,"RAB31, member RAS oncogene family"
210108_at,0.1819,0.0017516,3.459024,-1.1872,1.0923833,CACNA1D,calcium voltage-gated channel subunit alpha1 D
205405_at,0.1819,0.0017555,3.45817,-1.18908,1.2840504,SEMA5A,semaphorin 5A
213789_at,0.1819,0.0017555,3.458165,-1.18909,1.1053542,EBP,emopamil binding protein (sterol isomerase)
202037_s_at,0.1834,0.001783,3.452183,-1.20222,3.2278354,SFRP1,secreted frizzled related protein 1
217149_x_at,0.1834,0.0017856,-3.451619,-1.20346,-0.6087646,TNK1,tyrosine kinase non receptor 1
204619_s_at,0.1839,0.0018008,3.448335,-1.21066,1.5653783,VCAN,versican
221954_at,0.1839,0.0018192,3.444414,-1.21926,0.833765,OSER1,oxidative stress responsive serine rich 1
219414_at,0.1839,0.0018273,3.442709,-1.22299,0.6525296,CLSTN2,calsyntenin 2
211709_s_at,0.1839,0.0018285,3.442444,-1.22358,1.5343179,CLEC11A,C-type lectin domain family 11 member A
213446_s_at,0.1839,0.0018321,-3.441697,-1.22521,-1.6396521,IQGAP1,IQ motif containing GTPase activating protein 1
205529_s_at,0.1839,0.0018597,3.435911,-1.23789,2.2515233,RUNX1T1,RUNX1 translocation partner 1
207560_at,0.1839,0.0018639,-3.43503,-1.23982,-0.8070013,SLC28A1,solute carrier family 28 member 1
221162_at,0.1839,0.0018652,-3.434773,-1.24038,-0.4634242,HHLA1,HERV-H LTR-associating 1
212583_at,0.1839,0.001878,3.432117,-1.2462,0.5981437,AQR,aquarius intron-binding spliceosomal factor
201685_s_at,0.1839,0.0018807,3.431564,-1.24741,0.7236908,TOX4,TOX high mobility group box family member 4
204392_at,0.1839,0.0018992,3.427794,-1.25566,0.6605363,CAMK1,calcium/calmodulin dependent protein kinase I
210309_at,0.1839,0.0019038,-3.426852,-1.25772,-0.7287158,RECQL5,RecQ like helicase 5
202768_at,0.1839,0.0019042,3.426764,-1.25792,2.4537413,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
218778_x_at,0.1839,0.0019065,-3.426311,-1.25891,-0.7402183,EPS8L1,EPS8 like 1
218754_at,0.1842,0.0019347,3.420621,-1.27136,0.4900396,NOL9,nucleolar protein 9
209721_s_at,0.1842,0.0019389,3.419791,-1.27317,1.0339237,IFFO1,intermediate filament family orphan 1
219871_at,0.1842,0.0019494,3.417697,-1.27775,1.1358525,KLF3-AS1,KLF3 antisense RNA 1
209657_s_at,0.1842,0.00196,3.415596,-1.28235,0.664505,HSF2,heat shock transcription factor 2
212576_at,0.1842,0.0019609,3.415418,-1.28273,1.0061725,MGRN1,mahogunin ring finger 1
219229_at,0.1842,0.0019663,3.414348,-1.28507,0.8813521,SLCO3A1,solute carrier organic anion transporter family member 3A1
211700_s_at,0.1842,0.0019708,3.413471,-1.28699,2.12388,TRO,trophinin
205559_s_at,0.1842,0.0019779,3.412081,-1.29003,2.4652,PCSK5,proprotein convertase subtilisin/kexin type 5
AFFX-M27830_3_at,0.1842,0.0019902,-3.409673,-1.29529,-0.5337367,,
202047_s_at,0.1842,0.0019917,3.409374,-1.29594,1.4660487,CBX6,chromobox 6
63305_at,0.1846,0.0020043,3.406933,-1.30128,0.8702312,PKNOX2,PBX/knotted 1 homeobox 2
205793_x_at,0.1852,0.0020276,-3.402461,-1.31104,-0.8092062,TNK1,tyrosine kinase non receptor 1
203521_s_at,0.1852,0.0020284,3.402306,-1.31138,0.6382004,ZNF318,zinc finger protein 318
212655_at,0.1874,0.0020737,3.393745,-1.33006,1.0688675,ZCCHC14,zinc finger CCHC-type containing 14
209394_at,0.1874,0.0020741,3.393675,-1.33021,1.0262879,ASMTL,acetylserotonin O-methyltransferase-like
218588_s_at,0.1874,0.0020773,3.393068,-1.33154,0.7051754,FAM114A2,family with sequence similarity 114 member A2
205268_s_at,0.1898,0.0021128,-3.3865,-1.34586,-0.664775,ADD2,adducin 2
217230_at,0.1901,0.0021254,-3.384195,-1.35088,-0.527395,EZR,ezrin
215026_x_at,0.1901,0.0021326,-3.382874,-1.35376,-0.8681,SCNN1A,sodium channel epithelial 1 alpha subunit
